year,state,cancer_death_rate_by_100k_people,obesity_pct_pop
2011,Arizona,148.5,25.1
2016,Minnesota,148.6,27.8
2012,Arizona,148.6,26.0
2015,Texas,149.2,32.4
2017,Massachusetts,149.3,25.9
2016,New Jersey,149.7,27.4
2016,Massachusetts,150.2,23.6
2015,Florida,150.6,26.8
2012,North Dakota,150.7,29.7
2015,New Jersey,150.8,25.6
2016,Idaho,150.9,27.4
2016,Washington,150.9,28.6
2012,California,150.9,25.0
2017,Maryland,151.5,31.3
2014,New York,151.8,27.0
2013,North Dakota,151.8,31.0
2012,Connecticut,152.0,25.6
2012,Idaho,152.0,26.8
2011,California,152.0,23.8
2014,North Dakota,152.3,32.2
2017,United States,152.5,30.1
2017,Montana,152.6,25.3
2017,Nebraska,152.6,32.8
2017,Virginia,152.6,30.1
2014,Minnesota,152.6,27.6
2017,District of Columbia,152.8,23.0
2015,Massachusetts,152.9,24.3
2015,North Dakota,152.9,31.0
2014,Florida,152.9,26.2
2014,Texas,152.9,31.9
2015,Minnesota,153.0,26.1
2017,Idaho,153.2,29.3
2017,Wisconsin,153.2,32.0
2017,New Hampshire,153.5,28.1
2016,Nebraska,153.6,32.0
2015,Idaho,153.6,28.6
2015,South Dakota,154.0,30.4
2013,Montana,154.1,24.6
2017,Oregon,154.2,29.4
2017,Rhode Island,154.2,30.0
2012,Wyoming,154.2,24.6
2013,South Dakota,154.5,29.9
2017,Georgia,154.9,31.6
2015,Maryland,155.0,28.9
2012,Montana,155.1,24.3
2017,Nevada,155.3,26.7
2014,Idaho,155.4,28.9
2013,Minnesota,155.4,25.5
2014,Massachusetts,155.5,23.3
2014,Washington,155.5,27.3
2016,United States,155.8,29.6
2016,Oregon,155.9,28.7
2013,Florida,155.9,26.4
2013,New York,155.9,25.4
2012,Minnesota,155.9,25.7
2011,Wyoming,156.0,25.0
2016,Virginia,156.1,29.0
2014,New Jersey,156.1,26.9
2013,Washington,156.1,27.2
2013,Idaho,156.2,29.6
2013,New Jersey,156.2,26.3
2014,Montana,156.3,26.4
2015,Washington,156.4,26.4
2016,Maryland,156.5,29.9
2016,South Dakota,156.7,29.6
2017,South Dakota,156.9,31.9
2015,Montana,156.9,23.6
2013,Texas,156.9,30.9
2017,North Carolina,157.1,32.1
2017,Kansas,157.2,32.4
2015,Nevada,157.2,26.7
2016,Nevada,157.3,25.8
2011,Idaho,157.4,27.0
2015,Nebraska,157.8,31.4
2017,Illinois,157.9,31.1
2017,Iowa,158.0,36.4
2016,Rhode Island,158.0,26.6
2016,Wisconsin,158.0,30.7
2013,New Hampshire,158.0,26.7
2016,Vermont,158.4,27.1
2011,Connecticut,158.4,24.5
2015,United States,158.5,28.9
2016,Kansas,158.6,31.2
2016,Alaska,158.7,31.4
2012,Florida,158.8,25.2
2015,Wisconsin,159.3,30.7
2012,New York,159.4,23.6
2015,Virginia,159.5,29.2
2014,Nebraska,159.6,30.2
2013,Massachusetts,159.6,23.6
2016,Iowa,159.8,32.0
2015,Alaska,159.8,29.8
2016,District of Columbia,160.1,22.6
2016,Georgia,160.2,31.4
2015,Oregon,160.2,30.1
2014,Oregon,160.2,27.9
2012,New Jersey,160.3,24.6
2012,Texas,160.3,29.2
2017,Delaware,160.4,31.8
2014,New Hampshire,160.4,27.4
2011,New York,160.6,24.5
2011,Minnesota,160.8,25.7
2017,Pennsylvania,161.0,31.6
2011,North Dakota,161.0,27.8
2014,United States,161.2,28.9
2011,Florida,161.2,26.6
2017,Michigan,161.3,32.3
2015,New Hampshire,161.3,26.3
2013,Nebraska,161.3,29.6
2012,Washington,161.4,26.8
2014,Virginia,161.5,28.5
2016,North Carolina,161.6,31.8
2014,Maryland,161.7,29.6
2014,Wisconsin,161.8,31.2
2013,Virginia,162.0,27.2
2011,Texas,162.3,30.4
2017,South Carolina,162.7,34.1
2013,Maryland,162.9,28.3
2015,Georgia,163.0,30.7
2012,South Dakota,163.0,28.1
2015,Rhode Island,163.1,26.0
2013,Kansas,163.1,30.0
2013,United States,163.2,28.3
2012,Massachusetts,163.3,22.9
2014,South Dakota,163.4,29.8
2013,Oregon,163.4,26.5
2013,Vermont,163.4,24.7
2016,Illinois,163.5,31.6
2012,Rhode Island,163.5,25.7
2012,Nevada,163.6,26.2
2016,New Hampshire,164.1,26.6
2015,Iowa,164.1,32.1
2011,Nebraska,164.1,28.4
2014,Alaska,164.2,29.7
2017,Vermont,164.5,27.6
2014,Nevada,164.5,27.7
2015,Kansas,164.6,34.2
2016,Pennsylvania,164.7,30.3
2015,North Carolina,164.7,30.1
2012,Nebraska,164.7,28.6
2013,Nevada,164.8,26.2
2011,Montana,164.8,24.6
2012,Vermont,165.0,23.7
2012,Virginia,165.0,27.4
2013,Wisconsin,165.2,29.8
2015,Vermont,165.3,25.1
2014,Georgia,165.5,30.5
2015,Delaware,165.6,29.7
2012,Maryland,165.6,27.6
2014,Iowa,166.0,30.9
2011,New Jersey,166.0,23.7
2011,Maryland,166.1,28.3
2011,Washington,166.1,26.5
2012,Wisconsin,166.3,29.7
2016,Michigan,166.4,32.5
2012,Alaska,166.5,25.7
2012,United States,166.5,27.7
2015,South Carolina,166.6,31.7
2014,Kansas,166.8,31.3
2011,Massachusetts,166.9,22.7
2016,Missouri,167.0,31.7
2014,Rhode Island,167.0,27.0
2015,Pennsylvania,167.2,30.0
2017,Missouri,167.3,32.5
2014,Delaware,167.3,30.7
2015,District of Columbia,167.5,22.1
2015,Illinois,167.6,30.8
2013,Delaware,167.6,31.1
2013,North Carolina,167.6,29.4
2011,Rhode Island,167.6,25.4
2016,South Carolina,167.7,32.3
2013,Georgia,167.7,30.3
2012,New Hampshire,167.8,27.3
2014,Vermont,167.9,24.8
2015,Michigan,168.0,31.2
2012,Oregon,168.0,27.3
2012,Kansas,168.2,29.8
2013,Iowa,168.4,31.3
2012,Iowa,168.6,30.4
2016,Maine,168.9,29.9
2014,Illinois,168.9,29.3
2011,United States,169.0,27.4
2012,Georgia,169.1,29.1
2014,North Carolina,169.3,29.7
2014,Pennsylvania,169.6,30.2
2011,South Dakota,169.7,28.1
2017,Alabama,170.0,36.3
2017,Indiana,170.0,33.6
2012,North Carolina,170.2,29.6
2011,Nevada,170.2,24.5
2014,Maine,170.3,28.2
